Hora,Billetera,Par,Tipo,Vender,Comprar,Precio,Precio inverso,Fecha actualizada,Estado
25-12-30 12:12:11,SPOT,ETHUSDC,Instant,10.00000000 USDC,0.00333867 ETH,1 USDC=3.33867E-4 ETH,1 ETH=2995.2 USDC,25-12-30 12:12:12,Successful
25-12-30 12:11:48,SPOT,BTCUSDC,Instant,25.00000000 USDC,0.00028175 BTC,1 USDC=1.12703E-5 BTC,1 BTC=88728.7 USDC,25-12-30 12:11:48,Successful
25-12-24 12:35:23,SPOT,ETHUSDC,Instant,10.00000000 USDC,0.00338253 ETH,1 USDC=3.38254E-4 ETH,1 ETH=2956.36 USDC,25-12-24 12:35:24,Successful
25-12-24 12:33:37,SPOT,BTCUSDC,Instant,25.00000000 USDC,0.00028450 BTC,1 USDC=1.13804E-5 BTC,1 BTC=87870.6 USDC,25-12-24 12:33:38,Successful
25-12-15 23:49:23,SPOT,ETHUSDC,Instant,10.00000000 USDC,0.00338677 ETH,1 USDC=3.38678E-4 ETH,1 ETH=2952.66 USDC,25-12-15 23:49:23,Successful
25-12-15 23:49:07,SPOT,BTCUSDC,Instant,25.00000000 USDC,0.00028907 BTC,1 USDC=1.15631E-5 BTC,1 BTC=86482.2 USDC,25-12-15 23:49:08,Successful
25-12-08 22:50:36,SPOT,ETHUSDC,Instant,10.25200213 USDC,0.00325760 ETH,1 USDC=3.17753E-4 ETH,1 ETH=3147.1 USDC,25-12-08 22:50:36,Successful
25-12-08 22:50:08,SPOT,BTCUSDC,Instant,25.00000000 USDC,0.00027424 BTC,1 USDC=1.09699E-5 BTC,1 BTC=91158.2 USDC,25-12-08 22:50:09,Successful
25-12-02 22:02:42,SPOT,ETHUSDC,Instant,10.00000000 USDC,0.00330686 ETH,1 USDC=3.30685E-4 ETH,1 ETH=3024.03 USDC,25-12-02 22:02:43,Successful
25-12-02 22:02:28,SPOT,BTCUSDC,Instant,25.00000000 USDC,0.00027143 BTC,1 USDC=1.08568E-5 BTC,1 BTC=92108.2 USDC,25-12-02 22:02:29,Successful
25-11-23 21:57:59,SPOT,ETHUSDC,Instant,20.00000000 USDC,0.00704773 ETH,1 USDC=3.52386E-4 ETH,1 ETH=2837.8 USDC,25-11-23 21:57:59,Successful
25-11-23 21:57:38,SPOT,BTCUSDC,Instant,50.00000000 USDC,0.00057036 BTC,1 USDC=1.14071E-5 BTC,1 BTC=87665.0 USDC,25-11-23 21:57:39,Successful
25-11-23 21:54:55,SPOT,EURUSDC,Instant,497.50000000 EUR,568.09108926 USDC,1 EUR=1.14189 USDC,1 USDC=0.87574 EUR,25-11-23 21:54:55,Successful
25-11-06 11:04:41,SPOT,ETHBTC,Instant,0.04375782 ETH,0.00143392 BTC,1 ETH=0.0327694 BTC,1 BTC=30.5163 ETH,25-11-06 11:04:41,Successful
25-11-06 10:28:36,SPOT,ETHUSDC,Instant,10.00000000 USDC,0.00292339 ETH,1 USDC=2.92339E-4 ETH,1 ETH=3420.68 USDC,25-11-06 10:28:37,Successful
25-11-06 10:28:08,SPOT,BTCUSDC,Instant,25.00000000 USDC,0.00023956 BTC,1 USDC=9.58248E-6 BTC,1 BTC=104357.0 USDC,25-11-06 10:28:08,Successful
25-11-06 10:25:28,SPOT,ETHUSDC,Instant,10.00000000 USDC,0.00292391 ETH,1 USDC=2.92391E-4 ETH,1 ETH=3420.08 USDC,25-11-06 10:25:29,Successful
25-11-06 10:25:13,SPOT,BTCUSDC,Instant,25.00000000 USDC,0.00023971 BTC,1 USDC=9.5885E-6 BTC,1 BTC=104292.0 USDC,25-11-06 10:25:14,Successful
25-10-17 09:43:27,SPOT,ETHBTC,Instant,0.11270000 ETH,0.00400410 BTC,1 ETH=0.0355288 BTC,1 BTC=28.1461 ETH,25-10-17 09:43:28,Successful
25-10-17 09:02:02,SPOT,ETHUSDC,Instant,10.00000000 USDC,0.00260408 ETH,1 USDC=2.60408E-4 ETH,1 ETH=3840.12 USDC,25-10-17 09:02:03,Successful
25-10-17 09:01:42,SPOT,BTCUSDC,Instant,25.00000000 USDC,0.00023209 BTC,1 USDC=9.28351E-6 BTC,1 BTC=107718.0 USDC,25-10-17 09:01:43,Successful
25-10-08 20:50:03,SPOT,USDCUSDT,Instant,99.78000000 USDT,99.74404956 USDC,1 USDT=0.99964 USDC,1 USDC=1.00036 USDT,25-10-08 20:50:04,Successful
25-08-13 14:06:36,SPOT,EURUSDC,Instant,497.50000000 EUR,579.55174714 USDC,1 EUR=1.16493 USDC,1 USDC=0.858422 EUR,25-08-13 14:06:37,Successful
25-06-26 20:16:47,SPOT,EURUSDC,Instant,497.50000000 EUR,579.94728814 USDC,1 EUR=1.16572 USDC,1 USDC=0.857837 EUR,25-06-26 20:16:48,Successful
25-02-18 12:08:30,SPOT,EURUSDC,Instant,497.50000000 EUR,516.86502483 USDC,1 EUR=1.03892 USDC,1 USDC=0.962534 EUR,25-02-18 12:08:31,Successful
25-02-07 13:30:58,SPOT,USDCUSDT,Instant,21.44977709 USDT,21.38435232 USDC,1 USDT=0.99695 USDC,1 USDC=1.00306 USDT,25-02-07 13:30:59,Successful
25-02-07 13:30:26,SPOT,GMTUSDC,Instant,1.02574955 GMT,0.06691229 USDC,1 GMT=0.0652326 USDC,1 USDC=15.3298 GMT,25-02-07 13:30:27,Successful
