"date(UTC+0)","tx_type","amount","coin","network","txid","fee"
"2025-06-26 18:22:31","DEPOSIT","100.00000000","USDC","BEP20","0x68c6d5a6fa7d8ee8c82ebf349ce5d38ee1ce8c152226d4f70d045bf6d6c95484","0.00000000"
"2025-06-27 22:34:44","DEPOSIT","100.00000000","USDC","BEP20","0xb42efe102fa84e7f86c573a42ec181d047a0476816f7bb53134e38c96f45814c","0.00000000"
"2025-07-10 20:11:14","DEPOSIT","99.98000000","USDC","BEP20","0x64437babded7a3840df0956269c68f76b5a363c4a7b8abed793ebe9efe81604a","0.00000000"
"2025-08-04 15:12:33","DEPOSIT","24.98000000","USDC","BEP20","0xee24af74c6a17fd4d7bfd2a5dd3961f856dce9f10173a114ab1683279fa1cf66","0.00000000"
"2025-08-11 16:12:28","DEPOSIT","25.91963280","USDC","BEP20","0x56fdce72e861911b827023a007aa6e0fb13b483ee5af013dd48caad7e19bb3a4","0.00000000"
"2025-08-13 12:08:54","DEPOSIT","500.00000000","USDC","BEP20","0x824c5f016e5b1abcb0ed7ce74712a430c8fc0a3d8e38e5bac40b35e1fc049ede","0.00000000"
"2025-10-17 07:29:50","WITHDRAW","0.00429415","BTC","BEP20","0xc95d4c8a85347639e39fe8bbc6e88d091ae41db8114d6d76cc5f8bee4daa1197","0.00000700"
"2025-10-17 07:32:24","WITHDRAW","0.11017241","ETH","BEP20","0x8cf99646d47e2e4a7dd262b4d00badb303addf4f5368e20b085058dedc5ab435","0.00015000"
"2025-11-06 09:00:20","WITHDRAW","0.04390782","ETH","BEP20","0x89d173c1fc69f5b93b3496b4be8e33170763b925d58f4dc2fd4e9009c871cd14","0.00015000"
